fighter_id,fighter_name,wikipedia_name,division,is_current_champion,is_former_champion,was_interim,first_title_date,last_title_date,reign_count,match_confidence
6b453bc35a823c3f,Jack Della Maddalena,jack della maddalena,Welterweight,True,False,False,2025-05-10,2025-05-10,1,100.0%
d910665038efc639,Carla Esparza,carla esparza,s Strawweight,False,True,False,2022-05-07,2022-05-07,2,100.0%
07225ba28ae309b6,Charles Oliveira,charles oliveira,Lightweight,False,True,False,2021-05-15,2021-05-15,1,100.0%
6a1901c62ab3870f,Jessica Andrade,jessica andrade,s Strawweight,False,True,False,2019-05-11,2019-05-11,1,100.0%
d28dee5c705991df,Stipe Miocic,stipe miocic,Heavyweight,False,True,False,2016-05-14,2016-05-14,2,100.0%
d967f0128c323de6,Daniel Cormier,daniel cormier,Light Heavyweight,False,True,False,2015-05-23,2015-05-23,1,100.0%
c849740a3ff51931,TJ Dillashaw,tj dillashaw,Bantamweight,False,True,False,2014-05-24,2014-05-24,2,100.0%
140745cbbcb023ac,Mauricio Rua,mauricio rua,Light Heavyweight,False,True,False,2010-05-08,2010-05-08,1,100.0%
f7a7f7118d4b01b6,Lyoto Machida,lyoto machida,Light Heavyweight,False,True,False,2009-05-23,2009-05-23,1,100.0%
ffc088e64fab57e9,Quinton Jackson,quinton jackson,Light Heavyweight,False,True,False,2007-05-26,2007-05-26,1,100.0%
952f6fa06f25a0ec,Carlos Newton,carlos newton,Welterweight,False,True,False,2001-05-04,2001-05-04,1,100.0%
03688dc3c3af3ac1,Bas Rutten,bas rutten,Heavyweight,False,True,False,1999-05-07,1999-05-07,1,100.0%
c670aa48827d6be6,Dan Severn,dan severn,Superfight,False,True,False,1996-05-17,1996-05-17,1,100.0%
21b8a0f5c231096f,Mark Coleman,mark coleman,Heavyweight,False,True,False,,,1,100.0%
33e33d51f289d2a1,Maurice Smith,maurice smith,Heavyweight,False,True,False,,,1,100.0%
0aa92558424ced9e,Randy Couture,randy couture,Heavyweight,False,True,False,,,3,100.0%
6859f67468ba8489,Kevin Randleman,kevin randleman,Heavyweight,False,True,False,,,1,100.0%
ad3f53c454cbbead,Josh Barnett,josh barnett,Heavyweight,False,True,False,,,1,100.0%
50cc91ce2982785d,Ricco Rodriguez,ricco rodriguez,Heavyweight,False,True,False,,,1,100.0%
2a542ee8a8b83559,Tim Sylvia,tim sylvia,Heavyweight,False,True,False,,,2,100.0%
1ff9589f9065a9ed,Frank Mir,frank mir,Heavyweight,False,True,False,,,1,100.0%
3738e68d2261e60f,Andrei Arlovski,andrei arlovski,Heavyweight,False,True,False,,,1,100.0%
513c6f1715e547a8,Brock Lesnar,brock lesnar,Heavyweight,False,True,False,,,1,100.0%
0ff11cc094e887bc,Cain Velasquez,cain velasquez,Heavyweight,False,True,False,,,2,100.0%
63def5a5662a6917,Junior Dos Santos,junior dos santos,Heavyweight,False,True,False,,,1,100.0%
492b202d2064e7a9,Fabricio Werdum,fabricio werdum,Heavyweight,False,True,False,,,1,100.0%
8d03ce87ca14e778,Francis Ngannou,francis ngannou,Heavyweight,False,True,False,,,1,100.0%
07f72a2a7591b409,Jon Jones,jon jones,Heavyweight,False,True,False,,,1,100.0%
